dia,mes,hh,mm,ss,tau
24,11,9,40,42,0
25,11,9,39,05,0
26,11,9,37,33,0
27,11,9,36,03,0
28,11,9,34,36,0
29,11,9,33,12,0
30,11,9,31,50,0
1,12,9,30,33,0
2,12,9,29,18,0
3,12,9,28,07,0
4,12,9,26,59,0
5,12,9,25,54,0
6,12,9,24,53,0
7,12,9,23,56,0
8,12,9,23,01,0
9,12,9,22,11,0
10,12,9,21,24,0
11,12,9,20,41,0
12,12,9,20,02,0
13,12,9,19,27,0
14,12,9,18,56,0
15,12,9,18,28,0
16,12,9,18,05,0
17,12,9,17,45,0
18,12,9,17,30,0
19,12,9,17,18,0
20,12,9,17,10,0
21,12,9,17,06,0
22,12,9,17,06,0
23,12,9,17,11,0
24,12,9,17,19,0
25,12,9,17,31,0
26,12,9,17,47,0
27,12,9,18,08,0
28,12,9,18,32,0
29,12,9,19,01,0
30,12,9,19,32,0
31,12,9,20,08,0
